time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-05T20:18:26.857Z,30.6776,-112.8076,10,4.6,mb,,217,1.274,1.04,us,us7000fru2,2021-11-05T20:58:37.040Z,"16 km SSW of Plutarco Elías Calles (La Y Griega), Mexico",earthquake,8.3,2,0.164,11,reviewed,us,us
2021-11-05T14:08:05.831Z,30.0087,-113.9223,10,4.5,mb,,188,1.301,0.65,us,us7000frq1,2021-11-09T21:38:37.830Z,"119 km W of La Libertad, Mexico",earthquake,6.4,2,0.07,59,reviewed,us,us
2021-11-03T16:10:38.716Z,29.9614,-113.6855,10,4.5,mb,,112,1.47,0.77,us,us7000fr5l,2021-11-03T23:18:03.149Z,"96 km W of La Libertad, Mexico",earthquake,10.4,1.9,0.113,23,reviewed,us,us
2021-10-25T23:42:35.860Z,35.7758333,-121.3043333,7.79,4.65,mw,67,172,0.2092,0.07,nc,nc73644630,2021-10-30T02:11:09.421Z,"18km NW of San Simeon, CA",earthquake,0.28,1.25,,4,reviewed,nc,nc
2021-10-24T12:11:40.803Z,43.1788,-126.3945,10,4.7,mwr,,189,1.51,0.74,us,us6000fx7p,2021-10-25T12:09:27.040Z,"160 km W of Langlois, Oregon",earthquake,3.5,2,0.029,111,reviewed,us,us
2021-09-21T06:12:55.997Z,48.7634,-129.0865,10,4.5,mwr,,147,0.804,0.69,us,us7000fd2r,2021-10-29T04:12:06.040Z,"236 km WSW of Tofino, Canada",earthquake,7.8,2,,,reviewed,us,pgc
2021-08-31T17:21:09.030Z,40.8826,-114.974,7.48,4.7,mww,,13,0.243,0.97,us,us7000f6a0,2021-11-06T20:28:37.040Z,"25 km S of Wells, Nevada",earthquake,2.4,3.4,0.048,41,reviewed,us,us
2021-07-31T21:19:12.817Z,30.4525,-109.12,10,5.2,mww,,39,0.93,0.66,us,us6000f128,2021-10-14T01:04:31.040Z,"17 km W of Bavispe, Mexico",earthquake,4.1,1.7,0.037,70,reviewed,us,us
2021-07-31T15:39:20.854Z,27.5909,-111.497,10,5.5,mww,,113,0.714,1.26,us,us6000f109,2021-10-14T01:04:25.040Z,"60 km SW of San Carlos, Mexico",earthquake,5.1,1.1,0.03,106,reviewed,us,us
2021-07-25T04:25:57.228Z,23.9035,-108.6599,10,4.6,mb,,168,4.057,1.04,us,us6000eyua,2021-10-03T05:21:52.040Z,"100 km ENE of La Rivera, Mexico",earthquake,10.3,1.9,0.036,228,reviewed,us,us
