Account (cleansed),Name (Cleansed),FIN.POSTING DATE,MCH.MERCHANT NAME,MCH.MCC DESCRIPTION,FIN.TRANSACTION AMOUNT,FIN.TAX.TAX AMOUNT,FIN.ACCOUNTING CODE 03 DESCRIPTION,FIN.ACCOUNTING CODE 05 VALUE,MCH.ADDRESS,MCH.CITY NAME,MCH.COUNTRY CODE,MCH.STATE / PROVINCE,MCH.MERCHANT POSTAL CODE,ACC.REPORTS TO INTERMEDIATE LEVEL 1 NAME LINE 1,ACC.REPORTS TO INTERMEDIATE LEVEL 2 NAME LINE 1,ACC.ACCOUNT STATUS DESCRIPTION,FIN.TRANSACTION DATE,Employee ID (cleansed)
1001,Name220,09/17/2021,,,-357272.16,.00,,,,,,,,AUGUSTANA COLLEGE,AUGUSTANA COLLEGE,ACTIVE,09/17/2021,#N/A
1135,Name516,01/04/2021,JOHNSON DISTRIBUTING,NONDURABLE GOODS (NOT ELSEWHERE CLASSIFIED),28.50,.00,10-170-25500,60000,3809 N GAINES ST,563-4453600,USA,IA,52806,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,12/31/2020,Emp806
1099,Name254,01/04/2021,WAL-MART #4511,"GROCERY STORES, SUPERMARKETS",20.12,.00,10-161-32000,61507,1601 18TH ST,SILVIS,USA,IL,61282,ADVANCEMENT,AUGUSTANA COLLEGE,ACTIVE,12/31/2020,Emp708
1102,Name250,01/04/2021,GOOGLE*GSUITE QUADCITY,"COMP PROGRAMING,DATA PRCSNG,INTGRTD SYS DSGN SRVS",6.00,.00,15-152-18314,61500,CC GOOGLE.COM,INTERNET,USA,CA,94043,WVIK,AUGUSTANA COLLEGE,ACCOUNT CLOSED,01/02/2021,Emp714
1133,Name324,01/04/2021,WM SUPERCENTER #2231,"GROCERY STORES, SUPERMARKETS",7.48,.00,10-170-25000,61507,3930 44TH AVENUE DR,MOLINE,USA,IL,61265,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/02/2021,Emp801
1155,Name428,01/04/2021,AMZN MKTP US*B42NL2KL3,BOOK STORES,34.49,.00,10-121-17000,65503,440 TERRY AVE N,AMZN.COM/BILL,USA,WA,98109,LIBRARY,AUGUSTANA COLLEGE,ACTIVE,12/31/2020,Emp820
1155,Name428,01/04/2021,AMZN MKTP US*IO2MV2FY3,BOOK STORES,29.99,.00,10-121-17000,65503,440 TERRY AVE N,AMZN.COM/BILL,USA,WA,98109,LIBRARY,AUGUSTANA COLLEGE,ACTIVE,01/03/2021,Emp820
1155,Name428,01/04/2021,AMAZON.COM*E233350D3,BOOK STORES,54.56,.00,10-121-17000,65503,440 TERRY AVE N,AMZN.COM/BILL,USA,WA,98109,LIBRARY,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp820
1156,Name483,01/04/2021,AMAZON WEB SERVICES,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,123.67,.00,10-123-12002,64001,440 TERRY AVE N,AWS.AMAZON.CO,USA,WA,98109,INFORMATION TECHNOLOGY SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/03/2021,Emp821
1190,Name352,01/04/2021,PIZZA HUT 4363,"EATING PLACES, RESTAURANTS",128.45,.00,10-170-25500,60000,1600 38TH ST,3097930909,USA,IL,61201,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,12/30/2020,Emp1007
1190,Name352,01/04/2021,AUTOZONE #2623,"AUTOMOTIVE PARTS, ACCESSORIES STORES",91.95,.00,10-170-25500,65500,1402 38TH ST,ROCK ISLAND,USA,IL,61201,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,12/31/2020,Emp1007
1068,Name207,01/04/2021,FACEBK *8FGN2Z69F2,ADVERTISING SERVICES,199.60,.00,10-162-32300,60199,1601 WILLOW RD,FB.ME/ADS,USA,CA,94025,CLOSED CARDS,AUGUSTANA COLLEGE,ACCOUNT CLOSED,12/31/2020,Emp997
1190,Name352,01/04/2021,PIZZA HUT 4363,"EATING PLACES, RESTAURANTS",131.96,.00,10-170-25700,64002,1600 38TH ST,3097930909,USA,IL,61201,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/02/2021,Emp1007
1299,Name218,01/04/2021,FYF*FROMYOUFLOWERS,FLORISTS,71.15,.00,12-122-43052,60000,455 BOSTON POST RD STE 6,800-838-8853,USA,CT,06475,ATHLETICS,AUGUSTANA COLLEGE,ACTIVE,12/31/2020,Emp973
